Entity,Code,Year,Deaths - Malaria - Sex: Both - Age: Under 5 (Number),Deaths - HIV/AIDS - Sex: Both - Age: Under 5 (Number),Deaths - Meningitis - Sex: Both - Age: Under 5 (Number),Deaths - Nutritional deficiencies - Sex: Both - Age: Under 5 (Number),Deaths - Other neonatal disorders - Sex: Both - Age: Under 5 (Number),Deaths - Whooping cough - Sex: Both - Age: Under 5 (Number),Deaths - Lower respiratory infections - Sex: Both - Age: Under 5 (Number),Deaths - Congenital birth defects - Sex: Both - Age: Under 5 (Number),Deaths - Measles - Sex: Both - Age: Under 5 (Number),Deaths - Neonatal sepsis and other neonatal infections - Sex: Both - Age: Under 5 (Number),Deaths - Neonatal encephalopathy due to birth asphyxia and trauma - Sex: Both - Age: Under 5 (Number),Deaths - Drowning - Sex: Both - Age: Under 5 (Number),Deaths - Tuberculosis - Sex: Both - Age: Under 5 (Number),Deaths - Neonatal preterm birth - Sex: Both - Age: Under 5 (Number),Deaths - Diarrheal diseases - Sex: Both - Age: Under 5 (Number),Deaths - Neoplasms - Sex: Both - Age: Under 5 (Number),Deaths - Syphilis - Sex: Both - Age: Under 5 (Number),Deaths - All causes - Sex: Both - Age: 7-27 days (Number),Deaths - All causes - Sex: Both - Age: 1-4 years (Number),Deaths - All causes - Sex: Both - Age: 0-6 days (Number),Deaths - All causes - Sex: Both - Age: 28-364 days (Number),"Mortality rate, under-5, female (per 1,000 live births)","Mortality rate, under-5, male (per 1,000 live births)","Mortality rate, under-5 (per 1,000 live births)",$1.90 per day - share of population below poverty line,"Current health expenditure per capita, PPP (current international $)",Population (historical estimates),Access to electricity (% of population) [EG.ELC.ACCS.ZS],Adjusted net national income (annual % growth) [NY.ADJ.NNTY.KD.ZG],Adjusted net national income (current US$) [NY.ADJ.NNTY.CD],Adjusted net national income per capita (annual % growth) [NY.ADJ.NNTY.PC.KD.ZG],Adjusted net national income per capita (current US$) [NY.ADJ.NNTY.PC.CD],"Death rate, crude (per 1,000 people) [SP.DYN.CDRT.IN]","Government expenditure on education, total (% of government expenditure) [SE.XPD.TOTL.GB.ZS]",Poverty gap at $1.90 a day (2011 PPP) (%) [SI.POV.GAPS],Poverty gap at $3.20 a day (2011 PPP) (%) [SI.POV.LMIC.GP],Poverty gap at $5.50 a day (2011 PPP) (%) [SI.POV.UMIC.GP]
Ecuador,ECU,1995,35,5,144,503,544,270,2036,1004,2,769,996,115,99,2306,1269,101,231,1296,2541,4185,3699,3.620000076,4.509999847,4.079999924,17.36032,,11455205,89.830167,0.541613834,19560000000,-1.628097681,1707.52073,5.551,,,,
Ecuador,ECU,1996,15,7,141,506,585,247,2057,1016,0,803,1055,107,92,2478,1169,99,235,1341,2305,4413,3754,3.370000076,4.229999924,3.809999847,18.15579,,11703169,92.05137634,0.359665795,19680000000,-1.766731266,1681.595814,5.462,,,,
Ecuador,ECU,1997,25,22,140,517,595,232,2015,1048,0,835,1078,112,83,2490,1067,99,233,1328,2186,4439,3803,3.15,3.959999847,3.559999847,17.76542,,11951457,92.4298172,8.353242788,22740000000,6.102236075,1902.696885,5.382,,,,
Ecuador,ECU,1998,138,23,142,529,594,214,1987,1064,0,846,1069,113,78,2469,971,99,228,1299,2147,4373,3875,2.939999962,3.709999847,3.340000153,17.35285,,12198449,92.726642,3.049196863,23090000000,0.962675271,1892.863593,5.308,10.84613991,,,
Ecuador,ECU,1999,291,27,140,517,580,213,1956,1078,0,841,1055,109,73,2447,857,97,224,1271,2068,4293,3936,2.75,3.490000153,3.129999924,21.88342,,12442109,93.071434,-12.8036373,14840000000,-14.51124697,1192.723838,5.241,6.665820122,9.8,18.6,33.1
Ecuador,ECU,2000,271,30,138,507,550,200,1924,1106,0,824,1037,106,66,2403,776,97,217,1231,1951,4168,3943,2.589999962,3.290000153,2.95,28.43042,194.5037231,12681123,93.73226166,-4.360449555,12700000000,-6.163065263,1001.488591,5.182,4.957300186,11.7,22.9,39.6
Ecuador,ECU,2001,186,35,124,479,515,194,1871,1133,0,801,994,104,58,2336,712,98,207,1180,1820,4004,3857,2.460000038,3.120000076,2.8,20.91111,228.7401581,12914660,94.02462006,11.38704613,18710000000,9.372823794,1448.741198,5.131,,,,
Ecuador,ECU,2002,72,37,117,440,481,187,1825,1163,0,769,950,111,50,2302,684,100,196,1144,1771,3887,3698,2.329999924,2.970000076,2.660000038,16.0166,283.2643433,13143465,94.30938721,9.145304064,22340000000,7.245273038,1699.703997,5.091,,,,
Ecuador,ECU,2003,29,34,108,387,444,192,1743,1179,0,737,902,114,44,2239,651,101,189,1104,1728,3766,3483,2.229999924,2.839999962,2.539999962,14.86875,354.3684692,13369678,94.97304535,4.040182047,25410000000,2.279837355,1900.569333,5.062,,5.8,12.7,25.4
Ecuador,ECU,2004,11,32,98,341,411,170,1669,1203,0,709,849,109,38,2171,603,102,187,1069,1666,3649,3288,2.139999962,2.720000076,2.439999962,15.05881,396.187561,13596390,94.86557007,1.449417624,27240000000,-0.242193191,2003.472981,5.042,,6.2,13.1,26
Ecuador,ECU,2005,3,34,88,294,384,166,1572,1210,0,665,796,103,34,2056,536,100,186,1019,1573,3492,3071,2.05,2.620000076,2.35,11.80351,425.1009521,13825839,95.83264923,4.724376106,30130000000,2.986405385,2179.252919,5.033,,4.5,10.2,21.1
Ecuador,ECU,2006,2,39,83,262,370,157,1525,1241,0,634,758,102,32,1995,464,100,185,993,1527,3402,2948,1.970000076,2.520000076,2.260000038,8.163712,458.4024048,14059379,96.31526184,5.906630378,33630000000,4.147417937,2391.997541,5.032,,2.9,7.3,17.3
Ecuador,ECU,2007,1,38,80,236,363,146,1485,1291,0,605,723,101,30,1952,381,102,186,973,1482,3335,2851,1.9,2.420000076,2.170000076,8.527814,442.9202881,14296554,96.81261444,5.786579193,37020000000,4.031615589,2589.435188,5.037,,3.2,7.4,17
Ecuador,ECU,2008,0,45,76,206,361,128,1409,1312,0,563,678,103,28,1879,323,101,189,940,1421,3226,2719,1.820000076,2.320000076,2.079999924,7.513953,475.6585693,14535740,97.20657349,10.19485361,45380000000,8.381594276,3121.960079,5.047,,2.9,6.8,15.9
Ecuador,ECU,2009,0,43,70,175,351,124,1309,1312,0,518,625,93,26,1781,275,98,192,896,1335,3075,2556,1.739999962,2.220000076,1.989999962,7.321059,502.5795288,14774412,96.47086334,5.025937576,49750000000,3.329304873,3367.308289,5.059,13.17257023,2.6,6.4,15.5
Ecuador,ECU,2010,0,41,54,155,353,113,1227,1332,0,473,592,94,25,1747,237,99,192,873,1290,2980,2453,1.670000076,2.120000076,1.9,5.696001,556.0130005,15011114,97.46214294,3.64473256,54660000000,2.010415781,3641.302038,5.072,12.9965601,1.9,5.2,13.3
Ecuador,ECU,2011,0,33,41,130,329,114,1063,1295,0,425,529,84,20,1601,197,97,183,809,1178,2726,2232,1.589999962,2.020000076,1.810000038,4.68712,638.5113525,15243885,96.87269592,8.177474832,61540000000,6.52562696,4037.028618,5.082,11.97611046,1.8,4.4,11.3
Ecuador,ECU,2012,0,34,38,115,319,107,966,1298,0,387,493,82,17,1535,167,97,173,778,1132,2593,2116,1.519999981,1.929999924,1.729999924,4.494096,697.2825317,15474099,97.19493103,6.67680645,69290000000,5.089735414,4477.805137,5.089,11.53415012,1.5,4.1,10.5
Ecuador,ECU,2013,0,27,37,106,320,107,907,1314,0,362,470,76,16,1485,145,98,168,763,1096,2509,2044,1.460000038,1.85,1.660000038,3.244499,758.5909424,15707473,98.0346756,6.772371135,76060000000,5.185999136,4842.281123,5.094,11.44254017,1,3.2,9.5
Ecuador,ECU,2014,0,15,35,97,313,135,833,1281,0,351,443,70,15,1388,128,94,165,735,1041,2382,1941,1.4,1.779999924,1.589999962,2.636244,787.590271,15951832,98.97606659,3.638084395,80910000000,2.050498802,5072.144692,5.096,12.06830978,0.8,2.6,8.2
Ecuador,ECU,2015,0,27,35,91,318,158,789,1274,0,346,430,67,14,1338,117,92,164,725,1014,2329,1908,1.35,1.710000038,1.539999962,3.453475,828.5776978,16212022,98.82588196,-1.568818717,80340000000,-3.148560532,4955.581728,5.096,12.59764957,1.2,3.3,8.9
Ecuador,ECU,2016,0,25,34,88,319,170,745,1264,0,349,420,62,13,1291,110,91,166,713,1028,2283,1868,1.310000038,1.65,1.480000019,3.577468,803.2877808,16491116,98.69999695,-2.375265509,79910000000,-4.027456764,4845.639313,5.098,12.80000019,1.3,3.3,8.7
Ecuador,ECU,2017,0,25,33,87,324,175,732,1271,0,358,419,62,13,1285,108,92,168,718,986,2287,1858,1.269999981,1.589999962,1.439999962,3.223415,863.0466919,16785356,99.19999695,2.866309888,82360000000,1.063108155,4906.657923,5.101,13.86999989,1.1,2.9,8.2
Ecuador,ECU,2018,0,24,31,81,301,185,666,1194,0,358,393,56,11,1181,107,87,167,681,921,2140,1749,1.230000019,1.539999962,1.389999962,3.326323,931.4721069,17084359,98.69999695,-1.082453488,82530000000,-2.813665245,4830.734358,5.109,,1,3.1,8.7
Egypt,EGY,1990,0,18,1326,755,11849,2277,45352,12652,6232,714,4042,416,106,11153,36530,748,181,24444,42016,37546,60214,8.580000305,8.540000153,8.559999847,8.995675,,56134478,,1.524883752,33190000000,-0.909128113,591.2587269,8.434,,1.3,10.5,32.4
Egypt,EGY,1991,0,20,1409,711,11359,2095,42528,12194,5943,711,3881,376,96,10739,32777,718,179,22142,37939,36169,57599,8.159999847,8.119999695,8.140000153,8.324136,,57424552,,15.37776578,31600000000,12.7857411,550.2872709,8.18,,,,
Egypt,EGY,1992,0,22,1346,686,10898,1889,39782,11926,5356,703,3726,345,87,10366,29235,701,177,20211,34313,35166,54274,7.740000153,7.719999695,7.730000305,7.881411,,58666812,93.4,8.66480577,35490000000,6.363846556,604.9416832,7.939,,,,
Egypt,EGY,1993,0,23,1111,645,10528,1670,36503,11552,4777,705,3595,319,75,9977,25838,677,177,18312,30535,33882,50344,7.290000153,7.330000305,7.309999847,7.503061,,59880656,95.39224243,3.233923748,40450000000,1.141263324,675.5103017,7.705,,,,
Egypt,EGY,1994,0,23,1021,581,10052,1519,33020,11071,4323,702,3429,291,65,9465,22858,647,177,16347,27135,32393,46343,6.840000153,6.930000305,6.880000305,6.656636,,61095804,95.64853668,4.758004736,45610000000,2.674449539,746.532446,7.475,,,,
Egypt,EGY,1995,0,24,954,536,9830,1427,30389,10781,3992,702,3346,268,58,9226,20373,624,178,14960,24302,31784,42985,6.370000076,6.530000305,6.45,6.149986,,62334025,95.5,3.526093488,52350000000,1.469621393,839.8302532,7.255,,0.8,9.7,33
Egypt,EGY,1996,0,24,839,452,9239,1281,26308,10128,3664,697,3132,231,48,8578,18069,578,178,13589,20739,29826,37978,5.920000076,6.15,6.040000153,5.356636,,63601632,96.15432739,3.774025927,58590000000,1.705766394,921.2027767,7.054,,,,
Egypt,EGY,1997,0,25,780,399,8996,1050,24042,9855,3430,703,3017,208,42,8248,16705,554,179,13248,18465,28647,35069,5.509999847,5.779999924,5.65,4.335104,,64892269,96.40246582,7.083544539,69760000000,4.953768731,1075.012495,6.879,,,,
Egypt,EGY,1998,0,25,782,362,8863,1019,22556,9690,3240,713,2935,192,38,8019,15803,536,179,13538,16780,27637,33118,5.129999924,5.429999924,5.290000153,3.676348,,66200259,96.64652252,4.831460911,77710000000,2.760192541,1173.862477,6.737,,,,
Egypt,EGY,1999,0,25,733,341,8867,899,21713,9763,2266,724,2893,187,33,7945,15183,545,175,14197,15424,26882,31579,4.790000153,5.109999847,4.959999847,2.929893,,67515591,96.88573456,4.207469457,80910000000,2.177309946,1198.389865,6.628,,0.4,5.3,24.5
Egypt,EGY,2000,0,24,710,313,8763,778,20527,9736,1662,738,2843,177,28,7797,14341,548,170,14432,14092,26056,29853,4.479999924,4.829999924,4.659999847,2.500966,299.894104,68831561,97.69999695,5.14505403,87550000000,3.134817233,1271.945583,6.548,,,,
Egypt,EGY,2001,0,23,679,292,8558,708,19409,9630,831,752,2789,174,26,7622,13851,552,166,13943,13202,25522,28154,4.209999847,4.559999847,4.390000153,3.033169,341.5541382,70152662,97.34407806,9.079666498,88020000000,7.025499879,1254.692231,6.493,,,,
Egypt,EGY,2002,0,23,638,261,8277,667,18227,9408,511,759,2716,166,24,7400,13380,545,161,13067,12566,25068,26530,3.970000076,4.320000076,4.15,3.808858,355.757843,71485044,97.53617859,0.801197607,75880000000,-1.077596805,1061.480776,6.455,,,,
Egypt,EGY,2003,0,23,617,247,8155,638,17616,9333,125,765,2685,160,23,7317,13114,544,157,12676,11950,24891,25725,3.759999847,4.1,3.940000153,4.521873,347.9689941,72826102,98.80000305,1.539965667,70510000000,-0.329844463,968.1968149,6.425,15.3519001,,,
Egypt,EGY,2004,0,23,591,227,8007,546,16736,9259,123,770,2635,150,20,7195,12640,538,154,12387,11171,24497,24822,3.570000076,3.909999847,3.75,5.271228,339.55896,74172073,97.9070282,1.054758037,67380000000,-0.779042317,908.4281627,6.398,14.74870968,0.8,8.2,29.9
Egypt,EGY,2005,0,22,568,213,7932,461,15966,9186,130,777,2603,140,18,7106,12312,530,154,12189,10486,24298,23941,3.4,3.740000153,3.570000076,5.108852,364.0526733,75523576,99.40000153,1.995143238,74910000000,0.169928526,991.8757025,6.371,15.04360962,,,
Egypt,EGY,2006,0,21,547,200,7746,431,15319,9072,164,782,2534,131,17,6899,11982,526,154,11932,9964,23650,23380,3.25,3.579999924,3.420000076,4.978896,387.2709656,76873670,99.04000092,8.422288949,90440000000,6.518122259,1176.475639,6.342,11.01858997,,,
Egypt,EGY,2007,0,21,540,194,7437,393,15079,8914,174,778,2424,133,17,6560,12173,532,153,11696,10148,22488,23508,3.1,3.429999924,3.270000076,4.840387,384.157074,78232124,98.46562958,7.268742102,1.12E+11,5.406084611,1429.080463,6.313,11.20963955,,,
Egypt,EGY,2008,0,21,522,187,6864,349,14405,8578,202,761,2229,136,17,5959,12212,539,151,11119,10512,20439,23216,2.960000038,3.290000153,3.129999924,4.706316,414.2436829,79636081,99.80000305,2.947600824,1.36E+11,1.132669664,1705.257194,6.283,10.94180012,0.7,7.4,29
Egypt,EGY,2009,0,20,514,185,6474,329,13946,8406,57,743,2081,142,17,5524,12145,557,150,10749,10911,18843,23033,2.829999924,3.15,2.989999962,3.431421,420.4239502,81134789,98.86971283,6.55919409,1.64E+11,4.590850811,2025.025295,6.252,,,,
Egypt,EGY,2010,0,18,483,173,5773,310,12877,7920,13,723,1836,137,15,4775,11862,552,148,10141,10497,16287,22373,2.7,3.020000076,2.870000076,2.583438,415.846283,82761244,99.39455414,4.20699306,1.87E+11,2.159078158,2258.303416,6.218,11.29753494,0.3,4.7,23.5
Egypt,EGY,2011,0,17,482,175,5057,319,12603,7495,13,701,1573,138,15,3939,11872,565,148,9951,10512,13198,23133,2.579999924,2.9,2.75,1.974252,443.7524414,84529251,99.4521637,2.569020486,1.96E+11,0.423695121,2317.540942,6.178,10.94750118,,,
Egypt,EGY,2012,0,16,458,168,4149,355,11815,6862,23,665,1257,138,15,3007,11734,558,149,9289,10306,9952,22997,2.470000076,2.779999924,2.629999924,1.619734,522.4970093,86422240,99.69999695,5.198025915,2.38E+11,2.893772914,2757.392079,6.132,10.92314911,0.2,3.5,21.1
Egypt,EGY,2013,0,14,440,160,3588,391,11366,6446,54,636,1060,135,16,2461,11720,549,150,8802,10230,8114,22902,2.370000076,2.670000076,2.529999924,1.579458,551.789978,88404652,99.85038757,3.476011358,2.47E+11,1.155634749,2792.839454,6.081,11.90777493,,,
Egypt,EGY,2014,0,14,378,145,3146,408,10228,5994,180,607,914,124,14,2081,11130,526,144,8073,9503,6905,21558,2.279999924,2.570000076,2.429999924,1.525708,547.5418091,90424668,99.80000305,3.625846377,2.65E+11,1.310926429,2927.298555,6.027,11.9174366,,,
Egypt,EGY,2015,0,12,391,149,3308,406,10505,6227,359,606,943,128,14,2189,10857,543,139,8382,9856,7033,22152,2.189999962,2.470000076,2.329999924,1.609677,614.3677368,92442549,99.30000305,8.587496167,2.98E+11,6.217195394,3221.460282,5.971,11.92453957,0.2,3.4,19.9
Egypt,EGY,2016,0,8,330,123,2903,378,8693,5643,75,573,823,109,11,1898,9778,504,129,7445,8475,6283,18921,2.1,2.379999924,2.25,2.366573,600.3586426,94447071,100,4.379358403,3.01E+11,2.164035915,3183.79381,5.915,11.44999981,,,
Egypt,EGY,2017,0,6,297,108,2738,378,7723,5356,46,553,774,98,9,1790,9043,480,123,6968,7866,6053,17100,2.029999924,2.3,2.170000076,2.966474,620.4521484,96442590,100,-1.463647363,2.07E+11,-3.502488956,2150.50218,5.863,,0.6,6.3,26.2
Egypt,EGY,2018,0,5,269,95,2588,352,6901,5088,47,534,726,89,8,1683,8334,456,119,6572,7234,5771,15531,1.95,2.220000076,2.089999962,3.838274,576.057251,98423602,100,4.121583356,2.16E+11,2.02588576,2195.611577,5.817,,,,
El Salvador,SLV,1990,0,15,137,223,287,291,913,965,0,374,592,32,49,1616,1935,67,25,753,1884,2448,3638,5.529999924,6.45,6,17.60915,,5270074,,,4405000000,,835.8516408,8.103,,,,
El Salvador,SLV,1991,0,18,128,203,278,280,889,944,0,371,568,33,44,1544,1904,66,25,718,1716,2369,3530,5.220000076,6.109999847,5.679999924,20.91239,,5342190,69.60788,2.025187139,4799000000,0.647915197,898.3207261,7.789,,10.4,18,31.3
El Salvador,SLV,1992,0,20,113,186,271,248,878,927,3,367,542,30,38,1464,1672,64,25,667,1532,2272,3312,4.929999924,5.779999924,5.370000076,18.65397,,5416327,75.33219147,8.177822185,5375000000,6.697117788,992.3699215,7.53,,,,
El Salvador,SLV,1993,0,22,99,168,264,223,866,901,0,361,510,30,32,1369,1503,62,25,618,1407,2155,3118,4.65,5.470000076,5.070000076,16.62548,,5490478,76.27613831,8.81818562,6230000000,7.348554509,1134.691734,7.321,,,,
El Salvador,SLV,1994,0,22,86,156,256,201,856,878,0,354,477,35,28,1272,1394,60,25,577,1314,2036,2961,4.370000076,5.170000076,4.779999924,14.5977,,5561916,77.21871948,6.800857187,7190000000,5.429092558,1292.719991,7.162,,,,
El Salvador,SLV,1995,0,23,75,145,252,171,859,855,0,345,448,40,24,1191,1240,58,25,539,1227,1929,2795,4.1,4.870000076,4.5,12.67043,,5628602,76.995504,6.973520822,8364000000,5.706130409,1485.981777,7.048,,5.4,11.3,23.4
El Salvador,SLV,1996,0,25,65,139,246,146,864,831,0,333,423,42,21,1123,1123,57,24,510,1143,1841,2637,3.85,4.590000153,4.229999924,14.50997,,5689943,77.883,-0.296818229,8967000000,-1.371678359,1575.938458,6.967,,5.9,12.3,24.6
El Salvador,SLV,1997,0,30,55,135,233,120,843,819,0,313,393,43,17,1039,994,54,24,479,1036,1746,2431,3.609999847,4.309999847,3.970000076,17.1542,,5746288,80.03151703,2.785468852,9505000000,1.777609997,1654.111315,6.907,,,,
El Salvador,SLV,1998,0,35,47,130,214,98,808,802,0,309,356,41,14,955,858,51,23,449,976,1647,2228,3.390000153,4.070000076,3.729999924,20.31091,,5797764,81.637983,3.58302057,10170000000,2.663348854,1754.124521,6.858,13.20932961,11.3,17.5,28.2
El Salvador,SLV,1999,0,40,39,121,193,85,741,784,0,300,311,36,11,851,714,47,21,408,821,1515,1984,3.179999924,3.840000153,3.520000076,16.45209,,5844834,79.129592,-0.527245611,10340000000,-1.328326112,1769.083604,6.813,13.04333019,9,14.5,25.2
El Salvador,SLV,2000,0,45,35,112,173,74,679,758,0,274,280,32,8,773,586,44,20,373,737,1392,1784,3,3.620000076,3.320000076,12.39666,396.9402771,5887930,84.51924896,-0.508417034,10810000000,-1.236633786,1835.959327,6.772,13.54397011,5.2,10.6,20.8
El Salvador,SLV,2001,0,50,31,100,147,67,609,724,0,256,248,28,7,691,477,41,18,343,741,1271,1589,2.820000076,3.429999924,3.129999924,13.62054,401.9659424,5927001,87.06382751,0.787274612,11190000000,0.122881337,1887.969987,6.736,,6.1,11.6,22.1
El Salvador,SLV,2002,0,48,25,88,124,61,537,694,0,237,223,25,5,627,394,38,17,319,585,1166,1376,2.670000076,3.25,2.960000038,14.14016,410.1484985,5962139,87.54905701,0.715352828,11470000000,0.121784636,1923.806204,6.711,14.40474987,6.3,11.8,22.4
El Salvador,SLV,2003,0,42,23,79,106,60,481,668,0,218,202,23,5,587,327,36,16,318,574,1098,1241,2.520000076,3.070000076,2.810000038,15.08337,404.1502991,5994075,86.96115112,-0.268700147,11870000000,-0.800061332,1980.288869,6.701,14.02542019,7.7,13.1,23.4
El Salvador,SLV,2004,0,34,22,72,92,57,436,648,0,197,183,21,4,563,274,34,16,292,510,1020,1089,2.379999924,2.910000038,2.660000038,11.03137,421.1869202,6023801,87.35704803,-1.182007723,12210000000,-1.669650598,2026.95939,6.705,,4.9,9.7,20
El Salvador,SLV,2005,0,30,20,65,82,53,389,626,0,174,168,20,3,537,226,33,15,279,483,951,975,2.25,2.760000038,2.510000038,10.5616,440.8092346,6052124,87.52584076,3.370588724,13090000000,2.886830429,2162.877033,6.72,14.16685009,4.1,9.2,19.7
El Salvador,SLV,2006,0,42,19,59,73,45,350,614,0,153,156,18,3,516,183,31,14,268,436,892,890,2.139999962,2.610000038,2.379999924,7.073039,443.0360718,6079395,89.20146942,3.977464213,14270000000,3.511041251,2347.273043,6.742,14.91919041,2,6.4,16.8
El Salvador,SLV,2007,0,55,17,51,67,36,311,588,0,134,143,15,2,494,153,29,12,256,392,827,824,2.020000076,2.479999924,2.260000038,4.688562,444.7971497,6105810,91.10955811,0.323682569,15080000000,-0.110338482,2469.778784,6.769,15.81505013,1.1,4.6,14.2
El Salvador,SLV,2008,0,62,17,46,67,30,289,574,0,122,136,13,2,491,132,27,11,253,357,792,793,1.920000076,2.360000038,2.139999962,7.008568,464.745575,6131767,91.00022888,-1.666542196,15870000000,-2.082807452,2588.160966,6.797,18.16251945,1.8,6.4,17.2
El Salvador,SLV,2009,0,66,17,43,70,27,278,566,0,113,136,12,2,505,118,26,10,259,354,777,791,1.829999924,2.239999962,2.039999962,6.785987,500.2516479,6157678,91.08402252,-4.344461518,15220000000,-4.746972117,2471.710927,6.824,17.95026016,1.8,6.2,16.9
El Salvador,SLV,2010,0,68,11,37,72,25,245,530,0,108,130,10,2,487,105,24,10,252,296,725,746,1.729999924,2.129999924,1.939999962,5.715199,504.6463013,6183877,91.58023834,0.95005573,15990000000,0.522364411,2585.756476,6.848,15.81840992,1.5,5.6,16
El Salvador,SLV,2011,0,72,10,33,75,27,230,506,0,105,128,9,2,493,95,23,10,251,272,704,733,1.65,2.029999924,1.85,4.738094,526.6068726,6210567,92.57468414,3.772198496,17770000000,3.326235997,2861.252443,6.87,15.42368031,1.1,4.9,15.2
El Salvador,SLV,2012,0,74,10,32,80,29,223,490,0,103,126,9,2,503,89,23,9,252,298,703,743,1.569999981,1.929999924,1.760000038,4.219873,493.1596985,6237922,93.68057251,1.004208705,18260000000,0.561277529,2927.256865,6.891,13.55786037,1,4.2,13.8
El Salvador,SLV,2013,0,81,10,29,81,32,212,469,0,103,124,8,1,493,83,23,9,248,293,681,723,1.5,1.85,1.679999924,3.361626,530.8065796,6266076,95.04310608,1.468741879,18430000000,1.012834393,2941.234674,6.913,13.34160042,0.8,3.5,12.2
El Salvador,SLV,2014,0,105,8,24,74,33,184,425,0,101,114,7,1,442,77,20,9,232,279,620,664,1.439999962,1.770000076,1.610000038,3.099384,555.6079712,6295124,95.12541962,-0.394963001,18860000000,-0.854576999,2995.969579,6.935,13.85076046,0.7,3.4,11.9
El Salvador,SLV,2015,0,114,8,22,68,32,165,397,0,98,105,6,1,399,73,19,9,218,271,574,620,1.389999962,1.7,1.55,1.989589,579.7233887,6325121,95.40000153,4.402960821,19470000000,3.907827904,3078.201982,6.959,14.42251015,0.4,2.5,10.3
El Salvador,SLV,2016,0,114,7,20,63,33,150,373,0,96,97,5,1,361,69,18,9,204,227,524,563,1.330000019,1.639999962,1.489999962,2.323181,619.3892212,6356137,96,2.131940774,19880000000,1.633568213,3127.685888,6.984,13.93017006,0.5,2.8,10.4
El Salvador,SLV,2017,0,105,6,19,57,32,138,352,0,94,90,5,1,325,68,18,8,192,216,484,522,1.280000019,1.580000019,1.430000019,1.904775,609.7692871,6388124,96.80000305,0.198365502,20280000000,-0.303353801,3174.640943,7.011,13.41792965,0.4,2.2,9
El Salvador,SLV,2018,0,88,6,18,52,33,128,335,0,91,83,5,1,295,65,18,8,181,206,450,485,1.239999962,1.519999981,1.380000019,1.515231,625.9857788,6420740,97,-0.308110606,20870000000,-0.814524301,3250.404159,7.04,13.22591972,0.3,2,8.1
Equatorial Guinea,GNQ,1990,458,7,63,154,128,99,565,115,290,57,120,25,186,199,926,9,88,267,1478,732,1277,16.9,18.68000031,17.8,,,419188,,,87167100,,207.9427369,17.449,,,,
Equatorial Guinea,GNQ,1991,528,10,65,159,132,98,573,118,282,59,125,26,190,207,958,10,91,274,1543,756,1326,16.75,18.53999939,17.65,,,432844,,,94464762,,218.2420503,17.076,,,,
Equatorial Guinea,GNQ,1992,591,15,67,161,134,100,579,121,270,61,129,26,192,214,979,10,94,279,1596,776,1366,16.61000061,18.38999939,17.51999969,,,447269,,,118500000,,264.9412322,16.66,,,,
Equatorial Guinea,GNQ,1993,650,21,68,162,137,99,584,125,258,63,134,27,195,221,1000,10,97,284,1644,795,1403,16.46000061,18.25,17.38999939,,,462637,,,113900000,,246.1973426,16.237,,,,
Equatorial Guinea,GNQ,1994,709,29,69,162,140,95,587,128,246,65,138,27,195,229,1018,11,101,288,1689,815,1437,16.33999939,18.11999969,17.25,,,479099,,,53290006,,111.2296331,15.818,,,,
Equatorial Guinea,GNQ,1995,765,39,70,160,144,95,584,131,232,67,144,27,194,238,1030,11,104,291,1721,836,1467,16.18000031,17.96000061,17.08999939,,,496768,,,59942011,,120.6639941,15.415,,,,
Equatorial Guinea,GNQ,1996,806,52,70,151,152,94,564,135,216,71,156,26,183,259,989,11,111,290,1703,859,1477,16,17.76000061,16.88999939,,,515844,,,92747897,,179.7983441,15.031,,,,
Equatorial Guinea,GNQ,1997,800,66,67,128,154,95,507,135,193,73,162,24,160,266,895,11,116,276,1585,847,1414,15.73999939,17.5,16.63999939,,,536459,,,164600000,,306.8268032,14.666,,,,
Equatorial Guinea,GNQ,1998,829,83,66,112,158,90,468,136,179,75,167,23,144,273,791,11,121,267,1511,842,1373,15.43000031,17.18000031,16.33999939,,,558496,,,131600000,,235.6328425,14.318,5.248139858,,,
Equatorial Guinea,GNQ,1999,871,102,65,102,163,92,438,140,170,77,171,22,131,279,645,12,125,260,1444,839,1330,15.08000031,16.81000061,15.96999969,,,581765,,,155600000,,267.4619477,13.991,,,,
Equatorial Guinea,GNQ,2000,885,124,65,92,164,94,408,144,161,80,175,21,118,284,490,12,129,249,1356,836,1272,14.68000031,16.4,15.56999969,,182.8983459,606180,65.55956268,,,,,13.686,,,,
Equatorial Guinea,GNQ,2001,863,144,59,75,154,95,352,139,142,80,172,18,97,277,390,12,130,231,1225,810,1174,14.26999969,15.96999969,15.13999939,,311.6508484,631662,65.57118988,,,,,13.406,,,,
Equatorial Guinea,GNQ,2002,853,165,55,64,147,83,313,137,127,79,170,16,83,272,311,11,132,218,1134,791,1101,13.85,15.51999969,14.71000061,,385.2588501,658388,65.57523346,,-165200000,,-250.9158733,13.148,,,,
Equatorial Guinea,GNQ,2003,865,186,53,55,143,85,283,135,113,79,170,14,71,272,247,11,132,210,1076,784,1053,13.41000061,15.06999969,14.28000031,,479.2188721,686670,65.57404327,,-98051694,,-142.793036,12.906,,,,
Equatorial Guinea,GNQ,2004,818,203,51,51,141,81,266,136,104,79,168,13,64,270,204,11,135,202,1023,773,1005,12.96999969,14.6,13.81999969,,487.0598145,716949,65.56996918,,,,,12.677,,,,
